objectid,filename,title,subject,date,location,format,description,type,creator,latitude ,longitude,manufacturer,Brand,color scheme,rights,source
achieve-beanie-front,achieve-beanie-front.jpg,Achievement Hunter Beanie,Achievement Hunter,2015-12,"Indianapolis, Indiana",image/jpeg,hat,beanie,,,,,Rooster Teeth,black; green,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
achieve-green-front,achieve-green-front.jpg,Achievement Hunter Dad,Achievement Hunter,,"Austin, Texas",image/jpeg,,beanie,,,,,Rooster Teeth,black; green,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
achieve-rainbow-front,achieve-rainbow-front.jpg,Achievement Hunter Pride,Achievement Hunter,,"Austin, Texas",image/jpeg,,baseball cap,,,,,Rooster Teeth,black; red; orange; yellow; pale turquoise; blue; violet,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
blue-wall-front,blue-wall-front.jpg,Blue Wall VR,Blue Wall VR,2018-11,"Indianapolis, Indiana",image/jpeg,,baseball cap,,,,,Blue Wall VR,white; black; light sky blue,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
buick-front,buick-front.jpg,Buick Open,Golf,,"Grand Blanc, Michigan",image/jpeg,,baseball cap,,,,,Buick Open,beige; black,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
catan-front,catan-front.jpg,Settlers of Catan,Catan,2022-08,"Indianapolis, Indiana",image/jpeg,,baseball cap,,,,,Settlers of Catan,saddlebrown; goldenrod,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
cowboy-front,cowboy-front.jpg,Cowboy Hat from Wyoming,Cowboy,2022-07,"Cheyenne, Wyoming",image/jpeg,,cowboy hat,,,,,,black; brown,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
cycling-usa-front,cycling-usa-front.jpg,Cycling USA Sports Cap,Cycling,,"Indianapolis, Indiana",image/jpeg,,sports cap,,,,,Cycling USA,white; red; medium blue,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
ferrari-front,ferrari-front.jpg,Ferrari F1 Racing,Formula 1,2022-10,"Bloomington, Indiana",image/jpeg,,baseball cap,,,,,Ferrari,red; black; yellow; white; green,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
fez,fez.jpg,Doctor Who Fez,Fez,2014-08,"Indianapolis, Indiana",image/jpeg,,fez,,,,,,firebrick,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
fort-orange-front,fort-orange-front.jpg,The Fort Golf Course Orange,Golf,,"Indianapolis, Indiana",image/jpeg,,baseball cap,,,,,The Fort Golf Course,"orange red; black; forrest green, goldenrod",,"Private collection, Jerome D Bingham, Bloomington, Indiana"
iu-front,iu-front.jpg,Indiana University,Indiana University,2020-08,"Bloomington, Indiana",image/jpeg,,baseball cap,,,,,IU,darkred; white,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
iupui-front,iupui-front.jpg,IUPUI Red,IUPUI,2015-07,"Indianapolis, Indiana",image/jpeg,,baseball cap,,,,,IUPUI,crimson; white,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
iupui-yellow-front,iupui-yellow-front.jpg,IUPUI Yellow-Red,IUPUI,,"Indianapolis, Indiana",image/jpeg,,baseball cap,,,,,IUPUI,"gold, firebrick",,"Private collection, Jerome D Bingham, Bloomington, Indiana"
mini-beanie-front,mini-beanie-front.jpg,Indy Monumental Marathon Beanie,Indy Monumental Marathon,,"Indianapolis, Indiana",image/jpeg,,baseball cap,,,,,Indy Monumental Marathon,red; lightgrey,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
mini-cap-front,mini-cap-front.jpg,Indy Monumental Marathon Cap,Indy Monumental Marathon,,"Indianapolis, Indiana",image/jpeg,,baseball cap,,,,,Indy Monumental Marathon,white; grey; blue; red,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
pacers-front,pacers-front.jpg,Indiana Pacers,Basketball,,"Indianapolis, Indiana",image/jpeg,,baseball cap - flat bill,,,,,Indiana Pacers,"darkblue; gold, white",,"Private collection, Jerome D Bingham, Bloomington, Indiana"
pokemon-front,pokemon-front.jpg,Pokemon Ash,Pokemon,2022-10,"Indianapolis, Indiana",image/jpeg,,baseball cap,,,,,Nintendo,red; white; cyan,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
red-bull-front,red-bull-front.jpg,Red Bull Racing,Formula 1,2021-03,"Indianapolis, Indiana",image/jpeg,,baseball cap,,,,,Red Bull,midnight blue; blue; red; white; black,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
rye-whiskey-front,rye-whiskey-front.jpg,Rossville Union,Whiskey,2022-03,"Bloomington, Indiana",image/jpeg,,trucker cap,,,,,Rossville Union,lightsteelblue; beige; pale goldenrod; slate grey,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
spurs-front,spurs-front.jpg,San Antonio Spurs,Basketball,2021-07,"Indianapolis, Indiana",image/jpeg,,baseball cap - flat bill,,,,,San Antonio Spurs,"black, dark pink; persian green; dark orange; silver ",,"Private collection, Jerome D Bingham, Bloomington, Indiana"
striped beanie,striped beanie.jpg,Striped Beanie,Beanie,,"Indianapolis, Indiana",image/jpeg,,beanie,,,,,,dimgrey; darkred; white; black,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
the-fort-front,the-fort-front.jpg,The Fort Golf Course Blue,Golf,,"Indianapolis, Indiana",image/jpeg,,sports cap,,,,,The Fort Golf Course,blue; white; black,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
tiger-front,tiger-front.jpg,Detroit Tigers,Baseball,,"Detroit, Michigan",image/jpeg,,baseball cap,,,,,Detroit Tigers,navy; white,,"Private collection, Jerome D Bingham, Bloomington, Indiana"
formula-1-club,,Formula 1 Club,Formula 1,2022-11,"Bloomington, Indiana",image/jpeg,,baseball cap,,,,,Formula 1 Club at IU,black; red,,"Private collection, Jerome D Bingham, Bloomington, Indiana"